basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	momlnumb	agemom	maristat	havemaid	maidnumb	buyfood	BUYFOOD1	BUYFOOD2	BUYFOOD3	cookfood	COOKFOD1	COOKFOD2	COOKFOD3	cleanup	CLEANUP1	CLEANUP2	CLEANUP3	cleanhse	CLEANHS1	CLEANHS2	CLEANHS3	buycloth	BUYCLOT1	BUYCLOT2	BUYCLOT3	washclot	WASHCLO1	WASHCLO2	WASHCLO3	carechld	CARECHD1	CARECHD2	CARECHD3	fetchwat	FETCHWA1	FETCHWA2	FETCHWA3	getwood	GETWOOD1	GETWOOD2	GETWOOD3	tendanim	TENDANI1	TENDANI2	TENDANI3	tendgard	TENDGAR1	TENDGAR2	TENDGAR3	repairs	REPAIRS1	REPAIRS2	REPAIRS3	wakeup	breakfst	lunch	supper	bedtime	WAKEACT1	TWAKEAC1	WAKEACT2	TWAKEAC2	WAKEACT3	TWAKEAC3	WAKEACT4	TWAKEAC4	WAKEACT5	TWAKEAC5	WAKEACT6	TWAKEAC6	WAKEACT7	TWAKEAC7	WAKEACT8	TWAKEAC8	MORNACT1	TMORACT1	MORNACT2	TMORACT2	MORNACT3	TMORACT3	MORNACT4	TMORACT4	MORNACT5	TMORACT5	MORNACT6	TMORACT6	MORNACT7	TMORACT7	MORNACT8	TMORACT8	NOONACT1	TNOACT1	NOONACT2	TNOACT2	NOONACT3	TNOACT3	NOONACT4	TNOACT4	NOONACT5	TNOACT5	NOONACT6	TNOACT6	NOONACT7	TNOACT7	NOONACT8	TNOACT8	NOONACT9	TNOACT9	NOONAC10	TNOACT10	EVENACT1	TEVACT1	EVENACT2	TEVACT2	EVENACT3	TEVACT3	EVENACT4	TEVACT4	EVENACT5	TEVACT5	EVENACT6	TEVACT6	EVENACT7	TEVACT7	EVENACT8	TEVACT8	EVENACT9	TEVACT9	EVENAC10	TEVACT10	physwrk	dextwrk	multiwrk	mathwrk	readwrk	getotwrk	streswrk	physhome	dexthome	multihme	mathhome	readhome	getothme	streshme	absentph	intaskph	diffwkph	absenteh	intaskeh	diffwkeh
13	307	307	13	2618	307	11801	2	2	50	3	0	-9	2	-9	-9	-9	1	2	-9	-9	1	2	7	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	600	630	1200	1900	2200	3	15	8	15	1	10	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	40	4	80	8	60	1	30	8	60	3	60	-9	-9	-9	-9	3	60	8	110	3	10	8	120	3	60	8	60	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	120	2	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	-7	-7	-7	1	3	3	3	3	2	2	2
13	198	198	13	198	198	11733	1	2	54	2	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	7	1	-9	-9	7	1	-9	-9	7	1	-9	-9	7	1	-9	-9	7	2	1	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	430	600	1200	1900	2100	3	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	4	50	5	30	1	30	6	240	-9	-9	-9	-9	-9	-9	3	15	8	45	6	150	3	10	6	80	3	60	8	60	-9	-9	-9	-9	-9	-9	3	30	8	30	6	10	1	30	8	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	-7	-7	1	1	2	1	1	1	1	1
13	491	491	13	491	491	11960	1	2	42	2	0	-9	1	2	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	2	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	8	-9	-9	-9	600	700	1230	1800	2100	3	15	4	30	3	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	4	5	3	5	4	15	8	60	4	180	8	60	-9	-9	3	20	8	240	3	10	1	30	8	5	3	25	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	140	2	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	1	3	1	-7	1	1	2	3	3	-7	-7	1	2	1	1	1	2	2	1
13	309	309	13	309	309	11803	1	2	37	2	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	7	-9	-9	-9	0	-9	-9	-9	2	7	-9	-9	0	-9	-9	-9	2	-9	-9	-9	530	-9	1200	1900	2200	3	5	2	22	4	123	3	20	1	15	6	75	8	70	3	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	1	5	6	80	8	60	4	10	3	70	8	60	6	30	1	10	8	80	3	15	8	165	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	1	-7	1	2	2	2	3	2	-7	2	2	1	2	1	1	1	1
13	329	329	13	329	329	11817	1	2	42	2	0	-9	2	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	2	1	2	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	430	700	1200	1800	2200	3	10	1	5	4	45	3	40	4	50	-9	-9	-9	-9	-9	-9	3	55	1	25	4	150	2	20	8	50	-9	-9	-9	-9	-9	-9	3	30	1	5	6	180	3	25	2	30	4	15	3	30	8	45	-9	-9	-9	-9	3	45	1	5	8	30	6	120	8	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	1	-7	-7	2	2	2	1	-7	-7	1	2	1	1	1	1	1	1
13	162	162	13	3185	162	11702	1	1	42	2	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	530	800	1200	1900	2200	3	2	1	13	4	15	3	10	4	30	3	50	8	30	-9	-9	3	15	4	135	3	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	2	215	3	10	4	30	3	90	8	60	-9	-9	-9	-9	-9	-9	-9	-9	3	45	8	120	1	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	3	-7	3	2	1	1	1	1	1	2
13	189	189	13	3262	189	11725	1	2	38	2	0	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	6	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	800	1200	1900	2200	3	1	1	2	3	37	2	2	4	90	8	47	-9	-9	-9	-9	3	5	8	176	1	8	8	52	-9	-9	-9	-9	-9	-9	-9	-9	3	4	8	86	2	3	8	27	2	12	8	138	2	7	3	83	8	60	-9	-9	3	29	1	1	8	30	4	60	8	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	2	-7	-7	1	2	1	1	1	1	1	1
13	381	381	13	381	381	11863	1	2	37	2	0	-9	2	1	-9	-9	1	2	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	2	7	-9	-9	0	-9	-9	-9	2	7	-9	-9	1	-9	-9	-9	2	-9	-9	-9	530	700	1200	1800	2100	3	20	1	2	4	49	8	4	2	2	1	13	-9	-9	-9	-9	3	20	1	3	8	37	4	120	3	5	4	115	-9	-9	-9	-9	3	20	8	10	4	210	3	15	8	105	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	18	8	162	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-7	2	2	-7	2	2	2	-7	2	2	2	2	2	2	2	2	2	2	2
17	2090	326	13	2090	326	12532	1	2	37	2	0	-9	1	2	-9	-9	1	2	-9	-9	7	-9	-9	-9	7	1	-9	-9	1	2	-9	-9	7	1	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	1	-9	-9	500	-9	1200	1800	2200	1	68	5	17	4	85	3	10	8	240	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	160	3	10	8	20	5	30	3	60	8	60	-9	-9	-9	-9	-9	-9	3	10	8	120	1	20	8	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-7	-7	-7	1	1	1	1	1	1	1	1
13	409	409	13	409	409	11887	1	2	48	2	0	-9	2	7	1	-9	2	7	1	-9	7	1	-9	-9	7	1	-9	-9	1	7	-9	-9	7	1	-9	-9	1	2	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	7	-9	-9	500	530	1200	1800	2200	8	5	1	25	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	3	3	17	4	10	8	35	2	15	7	292	8	8	3	15	8	45	7	300	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	165	1	15	8	43	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	3	-7	-7	1	3	1	1	3	-7	-7	2	3	2	2	2	2	1	2
