basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	momlnumb	agemom	maristat	shoedec	SHOECON1	SHOEVOT1	SHOECON2	SHOEVOT2	SHOECON3	SHOEVOT3	shoeprev	shoesat	shoeimpt	clotdec	CLOTCON1	CLOTVOT1	CLOTCON2	CLOTVOT2	CLOTCON3	CLOTVOT3	clotprev	clotsat	clotimpt	docdec	DOCCON1	DOCVOT1	DOCCON2	DOCVOT2	DOCCON3	DOCVOT3	docprev	docsat	docimpt	appldec	APPLCON1	APPLVOT1	APPLCON2	APPLVOT2	APPLCON3	APPLVOT3	applprev	applsat	applimpt	landdec	LANDCON1	LANDVOT1	LANDCON2	LANDVOT2	LANDCON3	LANDVOT3	landprev	landsat	landimpt	schldec	SCHLCON1	SCHLVOT1	SCHLCON2	SCHLVOT2	SCHLCON3	SCHLVOT3	schlprev	schlsat	schlimpt	workdec	WORKCON1	WORKVOT1	WORKCON2	WORKVOT2	WORKCON3	WORKVOT3	workprev	worksat	workimpt	rmondec	RMONCON1	RMONVOT1	RMONCON2	RMONVOT2	RMONCON3	RMONVOT3	rmonprev	rmonsat	rmonimpt	spoudec	SPOUCON1	SPOUVOT1	SPOUCON2	SPOUVOT2	SPOUCON3	SPOUVOT3	spouprev	spousat	spouimpt	vistdec	VISTCON1	VISTVOT1	VISTCON2	VISTVOT2	VISTCON3	VISTVOT3	vistprev	vistsat	vistimpt	giftdec	GIFTCON1	GIFTVOT1	GIFTCON2	GIFTVOT2	GIFTCON3	GIFTVOT3	giftprev	giftsat	giftimpt	helpdec	HELPCON1	HELPVOT1	HELPCON2	HELPVOT2	HELPCON3	HELPVOT3	helpprev	helpsat	helpimpt	usedec	USECON1	USEVOT1	USECON2	USEVOT2	USECON3	USEVOT3	useprev	usesat	useimpt	fpdec	FPCON1	FPVOT1	FPCON2	FPVOT2	FPCON3	FPVOT3	fpprev	fpsat	fpimpt	hhldhead	ownmoney	talkmon	hhbills	skipmeal	rincome	withoutr	wantwork	partearn	incomesp	trackmon	controlm	arguemon	knowmuch	justify	dontbuy	rpalive	hpalive	rmalive	hmalive	rmaeduc	rmaecon	gradepa	occupa	tallpa	gradema	occuma	tallma	gradegpa	occugpa	tallgpa	gradegma	occugma	tallgma	rsibling	birthord
13	307	307	13	2618	307	11801	2	2	50	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9.0	-9	-9.0	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	0	1	3	2	3	-9	-9	2	1	3	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	0	1	6	-9	-9	-9	-9	1	-9	3	1	1	2	2	4	-9	-9	2	1	3	1	1	2	2	4	-9	-9	2	1	3	2	1	1	3	1	-9	-9	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	6	995	1	6	335	1	13	0	-8	13	0	1	1	2
13	198	198	13	198	198	11733	1	2	54	2	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3.0	-9	-9.0	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	2	6.0	-9	-9.0	-9	-9	2	1	3	1	2	6	-9	-9	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	0	1	3	2	3	-9	-9	2	1	3	1	1	4	2	2	-9	-9	1	-9	2	1	1	4	2	2	-9	-9	1	-9	2	2	1	1	1	0	2	0	0	1	2	2	2	0	1	1	1	1	1	1	1	3	3	6	400	1	6	0	0	13	601	0	6	0	0	11	11
13	491	491	13	491	491	11960	1	2	42	2	1	1	2	2	4	-9	-9	1	-9	2	1	1	6	-9	-9.0	-9	-9.0	1	-9	2	1	1	3	2	3	-9	-9	0	1	3	0	2	6	-9	-9	-9	-9	2	1	1	0	2	6	-9	-9	-9	-9	2	1	2	1	1	6.0	-9	-9.0	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	2	6	-9	-9	-9	-9	2	1	2	1	1	4	2	2	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	0	1	4	2	2	-9	-9	1	-9	2	0	1	6	-9	-9	-9	-9	1	-9	3	0	1	6	-9	-9	-9	-9	1	-9	3	2	1	1	1	0	1	0	1	5	1	1	1	1	1	1	0	1	1	1	1	3	2	6	642	1	6	914	1	11	905	2	6	0	2	4	5
13	309	309	13	309	309	11803	1	2	37	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9.0	-9	-9.0	1	-9	3	1	1	4	2	2	-9	-9	1	-9	3	1	1	3	2	2	3	1	1	-9	2	0	2	6	-9	-9	-9	-9	2	1	2	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	1	-9	3	1	1	5	2	1	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	2	1	2	0	1	3	2	3	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	2	1	2	1	0	2	0	1	1	2	1	3	1	1	1	1	1	1	1	1	1	3	6	641	1	6	914	2	5	335	1	0	400	0	3	1
13	329	329	13	329	329	11817	1	2	42	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9.0	-9	-9.0	1	-9	2	1	1	4	2	2	-9	-9	1	-9	3	1	2	6	-9	-9	-9	-9	2	1	3	0	2	6	-9	-9	-9	-9	2	1	2	1	2	6.0	-9	-9.0	-9	-9	2	1	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	2	0	1	3	2	3	-9	-9	1	-9	3	0	2	6	-9	-9	-9	-9	2	1	2	0	2	6	-9	-9	-9	-9	2	1	2	0	2	6	-9	-9	-9	-9	2	1	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	2	1	1	1	0	2	1	1	1	2	4	2	0	1	1	0	1	0	1	1	2	3	-8	400	0	0	400	1	-8	892	-8	-8	999	0	5	3
13	162	162	13	3185	162	11702	1	1	42	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9.0	-9	-9.0	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	2	2	4	-9	-9	2	1	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6.0	-9	-9.0	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	2	2	4	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	0	2	6	-9	-9	-9	-9	2	1	2	1	1	4	2	2	-9	-9	1	-9	2	1	1	4	2	2	-9	-9	1	-9	2	1	2	1	3	0	-9	-9	0	1	2	1	1	1	1	1	0	1	0	1	1	3	3	6	754	1	6	719	2	5	692	1	-8	-8	-8	3	1
13	189	189	13	3262	189	11725	1	2	38	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	2	2	4.0	-9	-9.0	2	1	2	1	1	1	2	5	-9	-9	2	1	2	0	2	6	-9	-9	-9	-9	2	1	1	0	2	6	-9	-9	-9	-9	2	1	3	1	2	6.0	-9	-9.0	-9	-9	2	1	3	0	1	6	-9	-9	-9	-9	1	-9	2	0	1	6	-9	-9	-9	-9	1	-9	2	1	1	2	2	4	-9	-9	2	1	3	1	1	2	2	4	-9	-9	2	1	2	0	2	6	-9	-9	-9	-9	2	1	1	0	2	6	-9	-9	-9	-9	2	1	1	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	2	1	1	2	0	-9	-9	1	1	2	4	2	1	1	1	0	1	1	1	1	1	3	9	669	2	13	302	1	6	641	1	9	303	1	6	1
13	381	381	13	381	381	11863	1	2	37	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9.0	-9	-9.0	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	0	1	3	2	3	-9	-9	2	1	3	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	0	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	2	1	1	1	0	2	0	1	1	2	3	2	1	0	1	1	1	1	1	1	3	3	6	941	1	0	43	2	4	771	2	0	302	1	7	7
17	2090	326	13	2090	326	12532	1	2	37	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3.0	-9	-9.0	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	3	1	1	4	2	2	-9	-9	1	-9	3	1	1	3.0	2	3.0	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	2	1	2	1	0	-9	-9	1	1	2	1	1	1	0	0	0	1	1	0	1	2	1	6	771	1	4	302	1	-8	722	1	9	0	2	2	3
13	409	409	13	409	409	11887	1	2	48	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	4	4	2.0	-9	-9.0	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	1	-9	2	0	1	4	2	2	-9	-9	1	-9	2	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	0	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	0	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	2	1	1	3	0	2	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	755	1	9	0	0	0	771	1	0	0	1	13	5
13	478	478	13	4001	478	11949	2	2	51	2	0	1	3	2	3	-9	-9	2	1	3	1	1	6	-9	-9.0	-9	-9.0	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	2	0	2	6	-9	-9	-9	-9	2	1	2	1	1	3.0	11	3.0	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	2	6	-9	-9	-9	-9	2	1	2	1	1	3	11	3	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	2	6	-9	-9	-9	-9	2	1	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	2	1	4	2	0	1	1	1	3	2	2	2	0	0	0	0	1	0	1	1	3	3	3	824	1	1	400	0	-8	-8	-8	6	-8	-8	8	1
13	338	338	13	338	338	11824	1	2	38	2	1	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9.0	-9	-9.0	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	2	6	-9	-9	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	2	6	-9	-9	-9	-9	2	1	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	2	1	1	2	0	2	0	1	1	2	2	1	1	1	1	1	1	0	0	1	3	-8	-8	400	2	-8	303	1	11	892	1	6	335	2	7	2
13	422	422	13	422	422	11898	1	2	47	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	3	3	4	3.0	-9	-9.0	3	1	2	1	1	3	2	3	-9	-9	2	1	2	1	1	3	2	3	-9	-9	2	1	2	1	1	3	2	3	-9	-9	2	1	2	1	1	3.0	2	3.0	-9	-9	2	1	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	2	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	2	1	1	2	0	2	0	1	1	2	3	3	0	1	1	1	1	1	1	1	3	3	5	303	0	3	303	2	4	611	1	3	0	2	8	8
13	173	173	13	173	173	11711	1	2	44	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3.0	-9	-9.0	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	1	-9	3	0	1	6	-9	-9	-9	-9	1	-9	3	1	3	3.0	4	3.0	-9	-9	4	1	3	1	2	6	-9	-9	-9	-9	2	1	1	1	1	4	2	2	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	1	1	2	6	-9	-9	-9	-9	2	1	3	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	2	1	0	1	0	2	0	1	1	2	1	1	2	0	1	1	1	1	1	1	-8	3	6	771	1	3	0	0	-8	0	0	-8	335	0	7	2
13	341	341	13	2586	341	11827	1	2	50	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	2	4	4.0	-9	-9.0	4	1	1	1	1	1	2	5	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	2	0	2	6	-9	-9	-9	-9	2	1	1	1	2	4.0	1	2.0	-9	-9	2	1	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	2	6	-9	-9	-9	-9	2	1	3	0	1	6	-9	-9	-9	-9	1	-9	2	0	1	3	2	3	-9	-9	0	1	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	2	1	1	1	0	2	1	0	3	2	1	2	1	0	1	1	1	1	1	1	3	1	5	999	1	4	303	2	-8	642	1	4	303	1	6	6
13	545	545	13	545	545	11984	1	2	42	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9.0	-9	-9.0	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	0	1	2	0	1	3	2	3	-9	-9	0	1	3	1	1	3.0	2	3.0	-9	-9	0	1	3	0	1	3	2	3	-9	-9	0	1	3	1	1	3	2	3	-9	-9	0	1	3	1	1	3	2	3	-9	-9	0	1	3	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	3	2	3	-9	-9	0	1	2	0	1	3	2	3	-9	-9	0	1	1	1	1	3	2	3	-9	-9	0	1	2	1	1	3	2	3	-9	-9	0	1	2	2	1	1	1	0	2	0	1	1	2	1	1	0	1	0	0	1	0	1	1	3	3	-8	470	1	-8	0	0	-8	-8	1	-8	-8	0	4	1
13	328	328	13	2213	328	11816	1	2	34	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	3	2	3.0	-9	-9.0	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	3	2	3	-9	-9	1	-9	2	0	2	6	-9	-9	-9	-9	2	1	3	1	1	3.0	2	3.0	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	2	1	3	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	4	2	2	-9	-9	1	-9	3	0	1	3	2	3	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	1	0	1	3	2	3	-9	-9	0	1	1	1	1	3	2	3	-9	-9	1	-9	3	1	1	3	2	3	-9	-9	1	-9	3	2	1	1	2	0	2	0	1	1	2	1	1	1	1	1	0	1	1	1	1	2	2	5	641	1	3	335	1	8	119	1	6	335	1	11	4
13	121	121	13	121	121	11674	1	2	40	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9.0	-9	-9.0	1	-9	1	1	1	3	2	3	-9	-9	0	1	3	1	2	6	-9	-9	-9	-9	2	1	1	1	1	3	2	3	-9	-9	0	1	3	1	1	2.0	3	4.0	-9	-9	3	1	2	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	2	2	4	-9	-9	2	1	3	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	1	-9	1	2	1	2	1	0	-9	-9	1	0	2	2	2	2	1	1	1	1	1	1	1	3	1	13	303	2	9	302	2	14	0	1	9	0	0	6	4
13	270	270	13	3176	270	11784	1	2	43	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9.0	-9	-9.0	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	6.0	-9	-9.0	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	3	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	4	2	2	-9	-9	1	-9	1	1	1	4	2	2	-9	-9	1	-9	1	2	1	1	1	0	2	0	1	1	2	1	1	0	0	1	0	0	1	1	1	2	1	-8	99	0	0	302	1	11	400	0	10	400	1	11	9
13	298	298	13	298	298	11797	1	2	46	2	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	1	4	5.0	-9	-9.0	1	-9	2	1	1	3	2	3	-9	-9	1	-9	3	1	1	4	2	2	-9	-9	2	1	3	0	1	4	2	2	-9	-9	2	1	3	1	1	3.0	2	3.0	-9	-9	0	1	3	1	1	3	2	3	-9	-9	0	1	3	1	1	6	-9	-9	-9	-9	1	-9	2	1	1	3	2	3	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	6	-9	-9	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	1	-9	1	1	1	3	2	3	-9	-9	2	1	3	1	1	3	2	3	-9	-9	2	1	3	2	1	1	1	0	2	1	1	1	2	1	1	1	0	0	0	1	1	1	1	3	3	0	400	2	0	400	2	4	332	0	0	332	1	6	2
