basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	numbper	tabsent	hhldtype	sourcedw	wheredws	toilet	wheretf	garbage	litetype	cookfuel	foodstor	walkstor	ridestor	trancost	busyroad	AIRQUAL1	AIRQUAL2	gencond	neighcon	neighgar	areafood	settlemn	resarea	AREA50M	houses	walkhous	walkroad	kindroad	boatride	walktran	electric	elecserv	material	neighmat	housneat	children	mother	ownhouse	ownlots	valhouse	rentfree	rental	feerent	samehous	renovatn	roomnumb	bathroom	bicyle	bikecar	motobike	motorcar	cars	jeepney	trucks	boat	banca	carriage	tractor	vehicle	chicken	goats	pigs	cows	carabaos	horses	animal	livinset	dineset	cabinet	bedwmatt	bedwomat	furnitur	eleciron	elecfan	aircon	sewmach	refriger	gastove	oven	rcooker	micwave	prcooker	colortv	tvcable	vcr	recorder	cdplayer	karaoke	computer	internet	washingm	vacuum	kerstove	applian	EQUIPM1	EQ1NUMB	EQUIPM2	EQ2NUMB	EQUIPM3	EQ3NUMB	EQUIPM4	EQ4NUMB	EQUIPM5	EQ5NUMB	purchase	MAJORP1	MAJORP2	MAJORP3	MAJORP4	MAJORP5	business	TYPEBIS1	TYPEBIS2	EMPLOY1	EMPLOY2	telephon	CELLFON1	CELLFON2	CELLFON3	CELLFON4	CELLFON5	economic	BETTER1	BETTER2	BETTER3	WORSE1	WORSE2	WORSE3	CROP1	EXPCROP1	SOLD1	CONSU1	CROP2	EXPCROP2	SOLD2	CONSU2	CROP3	EXPCROP3	SOLD3	CONSU3	CROP4	EXPCROP4	SOLD4	CONSU4	CROP5	EXPCROP5	SOLD5	CONSU5	CROP6	EXPCROP6	SOLD6	CONSU6	othsourc	agricoml	boarder	pension	remittan	allotmnt	donation	winnings	homegard	sources	inkind	valkind	food	alcobeve	tobacco	allowanc	watlight	cellcard	cabletv	itnetfee	soap	helper	transpo	newsmag	recreate	loans	houselot	schlfees	medical	clothing	durable	cphones	pcomputr	insuran	parties	expenses	OTHREXP1	OTHFREQ1	COST1	OTHREXP2	OTHFREQ2	COST2
13	307	307	13	2618	307	11801	2	5	0	2	1	4	2	3	1	1	4	2	5	-9	-9.0	0	5	-9	1	1	2	3	2	1	1	20	0	5.0	2	-9	5	1	1	1	1	3	3	3	1	0	50000	-9	-9	-9	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	4700	0	5000	0	0	0	1	1600	792.0	90.0	49.0	120.0	550.0	0.0	0	0	95.0	0	0.0	0.0	0	2400.0	200	1667	33	0	0	0	0	0	200	0	-9	-9	-9.0	-9	-9	-9
13	198	198	13	198	198	11733	1	6	1	4	4	4	2	1	2	1	2	2	10	-9	-9.0	0	5	-9	2	2	2	2	1	1	1	20	0	5.0	2	-9	10	1	1	2	1	2	2	2	1	0	100000	-9	-9	-9	0	-9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	7	1	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	1	33	-9	0	-9	1	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	4500	0	0	0	0	0	1	1000	707.0	0.0	28.0	60.0	920.0	0.0	0	0	500.0	0	96.0	0.0	0	0.0	0	8841	500	1000	0	0	0	4800	2000	1	3	3	500.0	-9	-9	-9
13	491	491	13	491	491	11960	1	4	0	2	3	4	2	2	1	1	2	2	5	-9	-9.0	0	5	-9	2	1	2	2	2	1	1	20	0	5.0	1	-9	5	1	1	2	2	2	-9	2	1	0	10000	-9	-9	-9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	3500	400	0	0	0	0	0	1	400	500.0	150.0	50.0	350.0	224.0	0.0	0	0	350.0	0	540.0	0.0	0	0.0	0	1795	350	15003	850	0	0	0	200	0	-9	-9	-9.0	-9	-9	-9
13	309	309	13	309	309	11803	1	9	0	2	4	4	2	3	2	1	3	2	3	-9	-9.0	0	4	5	1	1	1	2	2	1	1	20	0	0.0	2	-9	-9	1	1	1	1	3	2	2	1	0	20000	-9	-9	-9	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	7	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	0	0	0	0	4800	0	-9	862.0	36.0	70.0	352.0	524.0	0.0	0	0	417.0	0	44.0	0.0	0	0.0	6000	2232	3160	1000	10900	0	0	0	1900	0	-9	-9	-9.0	-9	-9	-9
13	329	329	13	329	329	11817	1	6	0	2	3	4	2	3	1	1	4	1	-9	15	4.0	0	6	-9	2	2	3	2	1	1	1	20	0	5.0	2	-9	5	1	1	2	2	2	2	2	1	0	20000	-9	-9	-9	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	7	-9	-9	-9	1	39	-9	0	-9	0	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	9600	2500	700	0	0	0	0	0	1	2158	900.0	15.0	72.0	250.0	100.0	0.0	0	0	352.0	0	203.0	20.0	0	0.0	10000	950	250	200	8600	0	0	2988	1000	0	-9	-9	-9.0	-9	-9	-9
13	162	162	13	3185	162	11702	1	9	0	6	1	4	3	3	1	1	2	2	5	-9	-9.0	0	4	5	3	3	3	2	2	1	1	20	0	0.0	2	-9	0	1	1	2	2	2	2	2	0	0	-9	2	-9	600	0	-9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	840.0	0.0	35.0	75.0	803.0	0.0	0	0	1070.0	0	540.0	0.0	0	0.0	0	4796	1600	3500	1500	0	0	0	0	1	1	1	10.0	-9	-9	-9
13	189	189	13	3262	189	11725	1	9	0	2	1	1	2	1	1	1	3	2	-9	3	2.0	0	6	-9	4	4	4	2	3	1	1	20	0	1.0	2	-9	1	1	1	2	3	2	2	2	0	0	-9	2	-9	1300	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	6	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	0	-9	-9	-9	-9	0	3	-9	-9	-9	-9	2	-9	-9	-9	1	1	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	11500	9500	0	20000	0	0	0	1	15800	1112.0	0.0	0.0	1095.0	564.0	270.0	0	0	718.0	0	1684.0	0.0	0	250.0	1000	43568	5000	1620	2360	6000	0	-8	720	0	-9	-9	-9.0	-9	-9	-9
13	381	381	13	381	381	11863	1	7	1	2	1	4	2	3	1	1	2	2	10	-9	-9.0	1	2	-9	1	1	1	3	1	1	1	20	0	2.0	2	-9	2	1	1	1	1	3	3	3	1	0	85000	-9	-9	-9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	95	-9	0	-9	0	5	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	470.0	100.0	140.0	95.0	279.0	280.0	0	0	230.0	0	150.0	0.0	30	0.0	0	200	400	1500	1400	2050	0	0	1000	0	-9	-9	-9.0	-9	-9	-9
17	2090	326	13	2090	326	12532	1	4	0	2	3	1	2	1	1	1	2	1	-9	30	4.0	0	1	-9	2	2	2	1	2	1	1	20	0	2.0	2	-9	5	1	1	3	2	2	1	1	1	1	200000	-9	-9	-9	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	3	-9	-9	-9	0	-9	-9	-9	-9	0	4	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	500	0	0	600	0	0	0	-9	600.0	100.0	140.0	300.0	880.0	500.0	0	0	326.0	0	0.0	24.0	30	0.0	5000	2500	300	1000	3000	5000	0	1200	700	0	-9	-9	-9.0	-9	-9	-9
13	409	409	13	409	409	11887	1	7	0	4	3	1	2	1	1	1	2	1	-9	15	6.0	0	5	-9	3	2	2	2	3	1	1	20	0	1.0	2	-9	1	1	1	2	2	2	2	1	1	1	150000	-9	-9	-9	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	1	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	0	-9	-9	-9	-9	1	0	-9	-9	-9	-9	1	4	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	7500	0	0	0	0	0	14000	1	500	1400.0	56.0	7.0	180.0	1733.0	0.0	0	0	858.0	0	1680.0	150.0	100	1400.0	1620	1650	20000	1070	12000	0	0	27072	5000	1	1	1	20.0	-9	-9	-9
