basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	linenumb	workstat	mainoccu	mainjob	farmstat	nonfarm	hrsjob	benefits	taxes	secndjob	secnoccu	jobsecnd	FARMSTA2	NONFARM2	HRSJOB2	BENEFIT2	TAXES2	hrsdayt	dayswkt	timepay	weektime	REGUJE1	finishp	paypiece	hrsdaypc	dyswekpc	weekpc	REGUJE2	hrsfarm	dywkfarm	wkyrfarm	REGUJE3A	livestok	daywkliv	wkyrlivs	REGUJE3B	expnsto	incmstok	consstok	hrsfish	dywkfish	wkyrfish	REGUJE4	incfish	familbus	typebus	homebus	hrsself	dywkself	wkyrself	REGUJE5	incmself
13	307	307	13	2618	307	11801	2	1	1	771	3	-9	2	-9.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	200.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
13	198	198	13	198	198	11733	1	1	1	807	3	-9	1	56.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	33	1	8.0	7.0	52.0	1	444.4
13	198	198	13	198	198	11733	1	2	1	807	3	-9	3	56.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	33	1	8.0	7.0	52.0	1	-7.0
13	198	198	13	198	198	11733	1	3	1	905	3	-9	2	72.0	1	1	0	-9	-9	-9	-9	-9.0	-9	-9	12.0	6.0	423.08	26.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
13	198	198	13	198	198	11733	1	4	1	807	3	-9	3	56.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	33	1	8.0	7.0	52.0	1	-7.0
13	198	198	13	198	198	11733	1	5	1	807	3	-9	3	7.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	1	33	1	1.0	7.0	52.0	1	-7.0
13	491	491	13	491	491	11960	1	1	2	641	3	-9	2	-9.0	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	4.0	7.0	75.0	8.0	4	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
13	491	491	13	491	491	11960	1	2	1	914	3	-9	2	-9.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	1.0	500.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
13	309	309	13	309	309	11803	1	1	1	771	3	-9	2	63.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	9.0	6.0	200.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	0.1	7.0	4.0	3	444	0	250	-9.0	-9.0	-9.0	-9	-9.0	0	-9	-9	13.0	7.0	22.0	1	130.0
13	491	491	13	491	491	11960	1	3	1	733	3	-9	2	48.0	0	0	0	-9	-9	-9	-9	-9.0	-9	-9	8.0	6.0	250.0	52.0	1	-9.0	-9.0	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9	-9	-9.0	-9.0	-9.0	-9	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9.0	-9.0	-9.0	-9	-9.0
