basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	momlnumb	agemom	maristat	knowhere	timewith	trapped	dowant	husbway	letwear	please	angrycon	sexelse	rdiscuss	pdiscuss	rdisyear	pdisyear	rdispreg	pdispreg	rgotinfo	pgotinfo	rinfoyr	pinfoyr	rinfoprg	pinfoprg	rsettle	psettle	rsetyear	psetyear	rsetpreg	psetpreg	rnagged	pnagged	rnagyear	pnagyear	rnagpreg	pnagpreg	ryelled	pyelled	ryellyr	pyellyr	ryellprg	pyellprg	rswore	pswore	rsworeyr	psworeyr	rsworprg	psworprg	rsulked	psulked	rsulkyr	psulkyr	rsulkprg	psulkprg	rstomped	pstomped	rstompyr	pstompyr	rstomprg	pstomprg	rsmash	psmash	rsmashyr	psmashyr	rsmashpr	psmashpr	rhand	phand	rhandyr	phandyr	rhandprg	phandprg	rthrew	pthrew	rthrewyr	pthrewyr	rthrewpr	pthrewpr	rpushed	ppushed	rpushyr	ppushyr	rpushprg	ppushprg	rhit	phit	rhityr	phityr	rhitpreg	phitpreg	rhard	phard	rhardyr	phardyr	rhardprg	phardprg	rharmed	pharmed	rharmyr	pharmyr	rharmprg	pharmprg	PHURTR1	PHURTR2	PHURTR3	RHURTP1	RHURTP2	RHURTP3	startedf	violent	RESOLVE1	RESOLVE2	parehurt	hurtphys	paremed
13	307	307	13	2618	307	11801	2	2	50	3	0	0	0	1	0	0	0	1	0	0	0	-9	-9	-9	-9	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	0	3	-9	3	-9	1	0	3	-9	3	-9	1	0	3	-9	0	-9	0	1	-9	3	-9	3	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	6	-9	0	-9	0
13	198	198	13	198	198	11733	1	2	54	2	1	1	0	0	1	0	1	1	0	0	0	-9	-9	-9	-9	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	1	2	2	0	0	0	1	-9	2	-9	2	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	2	-9	0	-9	0
13	491	491	13	491	491	11960	1	2	42	2	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	-9	3	-9	3	0	1	-9	3	-9	0	1	1	3	1	0	1	1	1	1	3	2	3	1	0	3	-9	3	-9	0	1	-9	1	-9	1	1	1	0	0	0	0	0	1	-9	0	-9	0	1	0	1	-9	0	-9	1	0	0	-9	0	-9	1	0	0	-9	0	-9	1	0	0	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	2	-9	-9	1	1	4	-9	0	-9	0
13	309	309	13	309	309	11803	1	2	37	2	1	0	0	0	1	0	1	1	0	1	0	1	-9	1	-9	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	1	0	1	-9	1	-9	1	0	1	-9	1	-9	1	0	1	-9	1	-9	0	1	-9	1	-9	1	0	1	-9	1		1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	4	-9	1	2	0
13	329	329	13	329	329	11817	1	2	42	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	0	1	-9	2	-9	0	1	-9	0	-9	0	0	0	-9	-9	-9	-9	1	0	1	-9	1	-9	1	0	1	-9	0	-9	0	0	-9	-9		-9	0	1	-9	1	-9	1	0	1	-9	0	-9	0	0	0	-9	-9	-9	-9	1	1	0	0	0	0	1	1	0	0	0	0	0	0	-9	-9	-9	-9	2	-9	-9	5	-9	-9	2	2	4	-9	0	-9	0
13	162	162	13	3185	162	11702	1	1	42	2	1	0	0	1	0	0	0	0	0	0	0	-9	-9	-9	-9	1	0	0	-9	2	-9	0	0	-9	-9	-9	-9	1	1	0	0	2	2	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	4	-9	1	1	0
13	189	189	13	3262	189	11725	1	2	38	2	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	1	1	1	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	4	-9	0	-9	0
13	381	381	13	381	381	11863	1	2	37	2	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	-9	-9	-9	-9	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	-9	-9	-9	-9	1	1	1	1	0	0	0	1	-9	1	-9	0	0	1	-9	1	-9	0	0	1	-9	1	-9	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	-9	-9	5	-9	-9	1	2	4	-9	0	-9	0
17	2090	326	13	2090	326	12532	1	2	37	2	0	1	1	1	0	0	0	1	0	1	1	0	0	3	3	1	0	0	-9	3	-9	1	0	0	-9	3	-9	1	1	0	0	2	2	1	1	1	1	3	2	0	0	-9	-9	-9	-9	1	1	0	0	2	2	1	0	0	-9	3	-9	1	1	0	0	2	2	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	0	0	3	3	1	1	0	0	3	3	1	1	0	0	3	3	0	0	-9	-9	-9	-9	1	-9	-9	1	-9	-9	2	1	7	-9	0	-9	0
13	409	409	13	409	409	11887	1	2	48	2	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	3	1	0	0	-9	-9	-9	-9	1	0	1	-9	3	-9	1	0	2	-9	3	-9	1	0	1	-9	3	-9	1	0	1	-9	3	-9	0	1	-9	1	-9	0	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	2	-9	1	2	0
13	478	478	13	4001	478	11949	2	2	51	2	1	1	1	1	1	0	1	1	0	0	0	-9	-9	-9	-9	1	1	1	3	0	0	0	0	-9	-9	-9	-9	1	1	2	2	0	0	1	1	2	2	0	0	1	0	1	-9	0	-9	1	0	1	-9	0	-9	1	0	2	-9	0	-9	1	0	1	-9		-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	2	2	3	-9	1	2	0
13	338	338	13	338	338	11824	1	2	38	2	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	1	0	0	-9	0	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	1	-9	0	-9	0	1	1	0	0	0	0	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	1	-9	0	-9	0	0	0	-9	-9	-9	-9	0	1	-9	0	-9	0	2	-9	-9	-9	-9	-9	1	2	4	-9	1	2	0
13	422	422	13	422	422	11898	1	2	47	2	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	4	-9	0	-9	0
13	173	173	13	173	173	11711	1	2	44	2	1	0	0	0	0	0	0	0	0	1	0	0	-9	1	-9	1	0	1	-9	1	-9	0	0	-9	-9	-9	-9	1	0	1	-9	1	-9	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	1	1	0	0	0	1	0	0	-9	0	-9	0	0	-9	-9		-9	1	1	0	0	1	1	1	0	0	-9	0	-9	1	0	0	-9	0	-9	1	1	0	0	0	0	1	1	0	0	0	0	0	0	-9	-9	-9	-9	4	-9	-9	5	-9	-9	2	2	4	-9	1	3	1
13	341	341	13	2586	341	11827	1	2	50	2	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	2	1	1	1	0	1	-9	0	-9	1	1	1	1	1	0	1	1	0	1	-9	1	-9	1	0	1	-9	0	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	0	0	0	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	2	-9	-9	2	-9	-9	2	1	3	-9	0	-9	0
13	545	545	13	545	545	11984	1	2	42	2	0	0	0	0	0	0	0	-8	0	1	1	2	2	1	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	4	-9	0	-9	0
13	328	328	13	2213	328	11816	1	2	34	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	1	3	3	3	3	1	1	3	3	3	3	1	1	3	3	3	3	1	1	1	1	1	1	1	1	3	3	3	3	0	1	-9	1	-9	0	0	1	-9	1	-9	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	4	-9	0	-9	0
13	121	121	13	121	121	11674	1	2	40	2	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	-9	1	-9	0	1	1	1	1	0	0	1	1	2	1	0	0	0	0	-9	-9	-9	-9	1	0	0	-9	0	-9	1	0	1	-9	0	-9	1	0	0	-9		-9	1	0	2	-9	0	-9	1	0	2	-9	0	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	0	1	-9	1	-9	0	1	-9	-9	1	-9	-9	1	2	4	-9	1	2	0
13	270	270	13	3176	270	11784	1	2	43	2	0	0	0	0	0	0	0	1	1	1	1	1	0	3	0	1	1	1	0	1	1	0	0	-9	-9	-9	-9	1	0	3	-9	1	-9	0	1	-9	1	-9	1	0	1	-9	1	-9	2	1	0	1	-9	2	-9	1	0	1	-9	1	-9	0	1	-9	1	-9	1	1	0	1	-9	1	-9	1	0	1	-9	1	-9	1	0	1	-9	2	-9	1	0	0	-9	1	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	4	8	-9	1	1	4	-9	0	-9	0
13	298	298	13	298	298	11797	1	2	46	2	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	1	0	0	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	4	-9	0	-9	0
13	215	215	13	215	215	11747	1	2	53	2	1	0	0	0	0	0	1	0	0	1	0	1	-9	1	-9	1	1	1	1	1	0	0	0	-9	-9	-9	-9	1	0	1	-9	1	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	-9		-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	6	-9	-9	2	2	4	-9	0	-9	0
13	79	384	13	384	384	11866	1	2	38	2	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	2	2	0	0	0	0	-9	-9	-9	-9	1	0	2	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	0	2	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	1	-9	0	-9	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	2	4	-9	-9	-9	-9	2	1	2	-9	0	-9	0
13	243	243	305	4105	243	11766	1	2	48	2	1	0	1	0	0	0	1	1	0	0	0	-9	-9	-9	-9	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	0	0	-9	0	-9	1	1	1	1	0	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	1	-9	0	-9	0
13	259	259	13	259	259	11775	1	2	51	2	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	3	3	1	1	1	1	1	1	1	1	1	0	1	-9	3	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	1	0	0	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	3	-9	1	1	0
13	84	84	13	84	84	11649	1	2	36	2	1	0	0	0	0	0	0	-8	0	1	0	1	-9	0	-9	1	1	0	0	1	1	0	0	-9	-9	-9	-9	0	1	-9	1	-9	0	0	0	-9	-9	-9	-9	0	1	-9	1	-9	0	0	0	-9	-9	-9	-9	1	0	0	-9	0	-9	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	7	-9	-9	1	-9	4	-9	0	-9	0
13	222	222	282	3373	222	11752	1	2	55	2	1	1	1	0	1	0	0	0	-8	1	1	1	1	1	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	1	1	1	1	0	0	1	-9	1	-9	1	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9		-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	3	-9	1	4	0
13	86	86	13	86	86	11651	1	2	43	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-9	-9	-9	-9	1	1	1	1	1	1	0	1	-9	1	-9	1	0	0	-9	-9	-9	-9	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-9	-9		-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	4	-9	0	-9	0
13	79	79	13	79	79	11645	1	2	37	3	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	0	1	-9	1	-9	1	0	1	-9	1	-9	1	0	1	-9	0	-9	0	1	-9	1	-9	0	1	0	1	-9	1	-9	0	0	-9	-9		-9	1	0	1	-9	1	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	0	1	-9	0	-9	0	0	-9	-9	-9	-9	-9	-9	-9	2	-9	-9	1	1	6	-9	0	-9	0
13	106	106	13	106	106	11662	1	2	47	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	-9	1	-9	1	0	1	-9	1	-9	1	0	0	-9	1	-9	1	0	0	-9	1	-9	1	0	0	-9		-9	1	0	0	-9	0	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	4	-9	1	2	0
