basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
13	307	307	13	2618	307	11801	2	1	0	1	2	-9	1	7	1946	55	1	6	0	1	-9
13	307	307	13	2618	307	11801	2	2	1	32	32	-9	2	2	1952	50	1	6	0	0	0
13	307	307	13	2618	307	11801	2	3	5	5	7	-9	2	1	1986	16	1	9	1	0	0
13	307	307	13	2618	307	11801	2	4	4	4	6	-9	1	6	1987	14	1	5	1	0	0
13	307	307	13	2618	307	11801	2	5	4	4	6	-9	1	1	1990	12	1	4	1	0	0
13	198	198	13	198	198	11733	1	1	0	1	2	-9	1	3	1946	56	1	11	0	1	-9
13	198	198	13	198	198	11733	1	2	1	32	32	-9	2	2	1948	54	1	6	0	1	-9
13	198	198	13	198	198	11733	1	3	4	4	6	-9	1	3	1976	25	1	15	0	1	-9
13	198	198	13	198	198	11733	1	4	5	5	34	-9	2	7	1983	18	1	12	1	1	-9
13	198	198	13	198	198	11733	1	5	4	4	6	-9	1	7	1990	11	1	5	1	1	-9
13	198	198	13	198	198	11733	1	6	8	8	15	0	1	6	1995	6	1	0	0	0	0
13	491	491	13	491	491	11960	1	1	0	1	2	-9	1	1	1950	52	1	3	0	0	1
13	491	491	13	491	491	11960	1	2	1	32	32	-9	2	2	1960	42	1	6	0	1	-9
13	491	491	13	491	491	11960	1	3	4	4	6	-9	1	3	1982	19	1	11	0	1	-9
13	491	491	13	491	491	11960	1	4	5	5	34	-9	2	4	1984	17	1	10	1	0	0
13	309	309	13	309	309	11803	1	1	0	1	2	-9	1	6	1958	43	1	6	0	1	-9
13	309	309	13	309	309	11803	1	2	1	32	32	-9	2	11	1964	37	1	9	0	1	-9
13	309	309	13	309	309	11803	1	3	4	4	6	-9	1	7	1981	20	1	10	0	0	1
13	309	309	13	309	309	11803	1	4	4	4	34	-9	1	9	1983	18	1	9	0	1	-9
13	309	309	13	309	309	11803	1	5	4	4	6	-9	1	11	1985	16	1	10	1	0	0
13	309	309	13	309	309	11803	1	6	4	4	6	-9	1	11	1987	14	1	6	1	0	0
13	309	309	13	309	309	11803	1	7	4	4	6	-9	1	12	1990	11	1	3	1	0	0
13	309	309	13	309	309	11803	1	8	4	4	6	-9	1	3	1993	9	1	1	1	0	0
13	309	309	13	309	309	11803	1	9	5	5	7	-9	2	3	1997	4	1	-9	-9	-9	-9
13	329	329	13	329	329	11817	1	1	0	1	2	-9	1	3	1953	49	1	6	0	1	-9
13	329	329	13	329	329	11817	1	2	1	32	32	-9	2	11	1959	42	1	6	0	1	-9
13	329	329	13	329	329	11817	1	3	4	4	34	-9	1	12	1983	18	1	6	0	1	-9
13	329	329	13	329	329	11817	1	4	4	4	6	-9	1	10	1985	16	1	8	0	1	-9
13	329	329	13	329	329	11817	1	5	4	4	6	-9	1	10	1989	12	1	5	1	0	0
13	329	329	13	329	329	11817	1	6	4	4	6	-9	1	8	1996	5	1	-9	-9	-9	-9
13	162	162	13	3185	162	11702	1	1	0	32	32	-9	2	2	1960	42	1	11	0	0	0
13	162	162	13	3185	162	11702	1	2	1	1	2	-9	1	2	1953	49	1	9	0	1	-9
13	162	162	13	3185	162	11702	1	3	4	4	6	-9	1	2	1981	21	1	14	1	0	0
13	162	162	13	3185	162	11702	1	4	4	4	34	-9	1	7	1983	18	1	12	1	1	-9
13	162	162	13	3185	162	11702	1	6	3	3	11	0	2	1	1932	70	1	6	0	0	0
13	162	162	13	3185	162	11702	1	7	6	6	12	0	1	9	1961	40	1	9	0	1	-9
13	162	162	13	3185	162	11702	1	8	6	6	12	0	1	11	1962	39	1	6	0	1	-9
13	162	162	13	3185	162	11702	1	9	13	13	11	0	2	-8	1941	60	1	0	0	0	0
13	162	162	13	3185	162	11702	1	5	8	8	15	0	1	12	1996	5	1	-9	-9	-9	-9
13	189	189	13	3262	189	11725	1	1	0	1	2	-9	1	12	1958	43	1	10	0	1	-9
13	189	189	13	3262	189	11725	1	2	1	32	32	-9	2	11	1963	38	1	13	0	0	0
13	189	189	13	3262	189	11725	1	3	5	5	34	-9	2	7	1983	18	1	12	1	1	-9
13	189	189	13	3262	189	11725	1	4	5	5	7	-9	2	1	1985	17	1	10	1	0	0
13	189	189	13	3262	189	11725	1	5	4	4	6	-9	1	1	1987	15	1	8	1	0	0
13	189	189	13	3262	189	11725	1	6	4	4	6	-9	1	12	1988	13	1	6	1	0	0
13	189	189	13	3262	189	11725	1	7	4	4	6	-9	1	9	1990	11	1	4	1	0	0
13	189	189	13	3262	189	11725	1	8	4	4	6	-9	1	11	1992	9	1	2	1	0	0
13	189	189	13	3262	189	11725	1	9	4	4	6	-9	1	1	1996	6	1	0	1	0	0
13	381	381	13	381	381	11863	1	1	0	1	2	-9	1	4	1958	43	1	4	0	1	-9
13	381	381	13	381	381	11863	1	2	1	32	32	-9	2	4	1964	37	1	6	0	1	-9
13	381	381	13	381	381	11863	1	3	4	4	6	-9	1	2	1980	22	1	11	0	0	1
13	381	381	13	381	381	11863	1	4	4	4	6	-9	1	12	1981	20	1	8	0	1	-9
13	381	381	13	381	381	11863	1	5	5	5	34	-9	2	10	1983	18	1	8	0	1	-9
13	381	381	13	381	381	11863	1	6	5	5	7	-9	2	7	1986	15	1	9	1	0	1
13	381	381	13	381	381	11863	1	7	5	5	7	-9	2	10	1995	6	1	0	0	0	0
17	2090	326	13	2090	326	12532	1	1	0	1	2	-9	1	10	1963	38	1	9	0	1	-9
17	2090	326	13	2090	326	12532	1	2	1	32	32	-9	2	1	1965	37	1	5	0	0	1
17	2090	326	13	2090	326	12532	1	3	5	5	34	-9	2	4	1984	17	1	8	0	0	0
17	2090	326	13	2090	326	12532	1	4	5	5	7	-9	2	7	1985	16	1	6	0	0	0
