survey	currbrgy	currstra	basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	lastmomi	MOMCH02	intrvwr	montrvw	dayntrvw	yrntrvw	session	momchild	mominhh	notinhh	deathmo	deathyr	whydied	currlive	byphone	notinter
12	13	1	13	307	307	13	2618	307	11801	1	2	8	3	12	2002	2	2	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	198	198	13	198	198	11733	1	1	8	3	13	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	309	309	13	309	309	11803	1	1	24	3	12	2002	1	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	491	491	13	491	491	11960	1	1	21	3	8	2002	3	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	329	329	13	329	329	11817	1	1	21	3	12	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	162	162	13	3185	162	11702	1	1	16	3	9	2002	3	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	189	189	13	3262	189	11725	1	1	13	3	12	2002	1	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	83	83	13	83	83	11648	1	7	3	4	17	2002	1	1	0	1	10	1999	14	-9	-9	1
12	13	1	13	381	381	13	381	381	11863	1	1	12	3	13	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	17	2090	326	13	2090	326	12532	1	1	6	3	8	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	409	409	13	409	409	11887	1	1	11	3	17	2002	1	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	338	338	13	338	338	11824	1	1	4	3	9	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	478	478	13	4001	478	11949	1	2	12	3	9	2002	1	2	0	2	-9	-9	-9	1	0	-9
12	13	1	13	422	422	13	422	422	11898	1	1	4	3	13	2002	2	1	1	-9	-9	-9	-9	-9	-9	-9
12	13	1	13	124	124	13	124	124	11676	1	7	25	3	20	2002	1	1	0	1	12	2000	15	-9	-9	1
