basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	linenumb	maristat	uncmomid	montrvw	dayntrvw	yrntrvw	havemaid	maidnumb	buyfood	BUYFOOD1	BUYFOOD2	BUYFOOD3	cookfood	COOKFOD1	COOKFOD2	COOKFOD3	cleanup	CLEANUP1	CLEANUP2	CLEANUP3	cleanhse	CLEANHS1	CLEANHS2	CLEANHS3	buycloth	BUYCLOT1	BUYCLOT2	BUYCLOT3	washclot	WASHCLO1	WASHCLO2	WASHCLO3	carechld	CARECHD1	CARECHD2	CARECHD3	fetchwat	FETCHWA1	FETCHWA2	FETCHWA3	getwood	GETWOOD1	GETWOOD2	GETWOOD3	tendanim	TENDANI1	TENDANI2	TENDANI3	tendgard	TENDGAR1	TENDGAR2	TENDGAR3	repairs	REPAIRS1	REPAIRS2	REPAIRS3	wakeup	breakfst	lunch	supper	bedtime	WAKEACT1	TWAKEAC1	WAKEACT2	TWAKEAC2	WAKEACT3	TWAKEAC3	WAKEACT4	TWAKEAC4	WAKEACT5	TWAKEAC5	WAKEACT6	TWAKEAC6	WAKEACT7	TWAKEAC7	WAKEACT8	TWAKEAC8	MORNACT1	TMORACT1	MORNACT2	TMORACT2	MORNACT3	TMORACT3	MORNACT4	TMORACT4	MORNACT5	TMORACT5	MORNACT6	TMORACT6	MORNACT7	TMORACT7	MORNACT8	TMORACT8	NOONACT1	TNOACT1	NOONACT2	TNOACT2	NOONACT3	TNOACT3	NOONACT4	TNOACT4	NOONACT5	TNOACT5	NOONACT6	TNOACT6	NOONACT7	TNOACT7	NOONACT8	TNOACT8	NOONACT9	TNOACT9	NOONAC10	TNOACT10	EVENACT1	TEVACT1	EVENACT2	TEVACT2	EVENACT3	TEVACT3	EVENACT4	TEVACT4	EVENACT5	TEVACT5	EVENACT6	TEVACT6	EVENACT7	TEVACT7	EVENACT8	TEVACT8	EVENACT9	TEVACT9	EVENAC10	TEVACT10	mainjob	seconjob	physwrk	dextwrk	multiwrk	mathwrk	readwrk	getotwrk	streswrk	physhome	dexthome	multihme	mathhome	readhome	getothme	streshme	absentph	intaskph	diffwkph	absenteh	intaskeh	diffwkeh
1	156	156	1	2546	156	1	2	2	10113	2	28	2005	0	-9	1	2	-9	-9	7	1	2	-9	7	2	-9	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	1	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	800	-9	1200	2000	2200	1	5	8	25	1	20	6	100	8	5	3	25	2	20	6	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	6	165	3	5	6	205	8	30	3	20	1	40	-9	-9	-9	-9	-9	-9	3	30	8	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	331	-9	3	2	3	1	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1
1	123	123	1	123	123	1	2	2	10086	1	11	2005	0	-9	2	1	-9	-9	1	-9	-9	-9	7	1	-9	-9	7	-9	-9	-9	1	2	-9	-9	7	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	430	1000	1400	2000	2200	3	30	5	15	1	1	2	134	1	1	2	149	-9	-9	-9	-9	3	10	1	2	2	228	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	25	2	150	1	5	3	30	2	30	1	20	2	100	-9	-9	-9	-9	-9	-9	3	10	1	1	8	108	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	1	-7	-7	1	1	1	1	1	1	1	1
13	189	189	13	189	189	1	2	2	11725	1	8	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	800	1200	1930	2200	1	2	3	50	4	124	3	3	1	1	-9	-9	-9	-9	-9	-9	3	25	8	111	1	21	2	13	3	10	8	60	-9	-9	-9	-9	3	10	8	150	2	14	8	158	3	2	2	13	3	56	8	47	-9	-9	-9	-9	3	25	1	3	8	90	4	7	8	25	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	2	2	2	2	2	2
1	59	59	1	59	59	2	2	2	10032	1	13	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	7	1	2	-9	7	1	-9	-9	1	7	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	300	1000	1300	1900	2100	1	3	7	117	1	5	3	5	1	5	7	105	8	150	4	30	3	10	8	50	4	120	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	40	8	80	1	15	3	5	7	100	8	10	3	50	8	60	-9	-9	-9	-9	3	15	1	15	8	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	331	-9	2	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2
1	49	49	1	49	49	2	1	2	10022	1	25	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	9	-9	-9	-9	0	-9	-9	-9	7	1	-9	-9	0	-9	-9	-9	0	-9	-9	-9	500	800	1200	1900	2300	1	1	5	10	3	15	1	7	7	75	8	72	-9	-9	-9	-9	3	5	7	115	1	1	7	119	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	5	7	170	1	1	7	184	4	5	8	5	3	40	-9	-9	-9	-9	3	15	1	6	8	218	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	914	-9	1	1	-7	1	-7	2	2	1	1	-7	3	-7	1	2	1	1	1	1	1	1
13	198	198	13	198	198	1	2	2	11733	1	14	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	7	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	1	-9	-9	500	900	1300	1900	2200	1	2	3	28	4	30	3	10	4	50	6	120	-9	-9	-9	-9	3	10	6	230	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	50	6	130	3	10	1	40	3	60	8	60	-9	-9	-9	-9	-9	-9	3	10	8	15	1	5	8	150	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	807	-9	2	2	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1
3	274	274	13	3386	274	1	2	2	10437	1	29	2005	1	1	1	2	-9	-9	8	1	2	-9	8	-9	-9	-9	8	-9	-9	-9	1	-9	-9	-9	8	1	2	-9	1	-9	-9	-9	6	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	8	-9	-9	-9	6	-9	-9	-9	700	730	1200	2000	2200	1	16	3	9	2	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	1	7	15	8	4	7	240	-9	-9	-9	-9	-9	-9	3	25	8	35	7	120	3	15	7	113	3	32	1	5	8	10	3	30	8	95	3	15	8	105	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	932	-9	2	1	2	-7	-7	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	430	1000	1300	2000	2400	3	25	2	80	4	160	8	15	3	39	1	1	-9	-9	-9	-9	3	5	4	80	2	30	3	60	1	5	-9	-9	-9	-9	-9	-9	3	5	4	90	1	20	7	179	3	92	8	29	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	195	4	10	8	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	335	-9	1	1	1	1	1	1	1	2	2	2	1	-7	2	2	2	1	2	2	2	2
1	33	33	1	33	33	2	2	2	10010	1	30	2005	0	-9	1	2	-9	-9	1	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	430	1000	1400	2000	2400	1	20	7	185	3	5	7	10	8	10	7	100	-9	-9	-9	-9	3	10	7	170	8	30	7	30	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	45	3	10	7	290	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	105	1	5	8	85	1	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	111	-9	2	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
1	133	133	1	1024	133	1	2	2	10095	1	14	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	7	-9	-9	6	-9	-9	-9	545	630	1230	1800	2100	1	2	3	43	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	33	4	5	2	16	8	26	4	25	8	215	3	30	3	27	2	17	4	166	3	10	4	20	1	20	8	20	3	31	2	19	5	10	3	15	4	15	8	150	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	2	2	2	1	1	1	1	1	1	1	1
