basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	montrvw	dayntrvw	yrntrvw	numbper	tabsent	hhldtype	sourcedw	wheredws	toilet	wheretf	garbage	litetype	cookfuel	foodstor	walkstor	ridestor	trancost	busyroad	AIRQURE1	AIRQURE2	AIRQUIN1	AIRQUIN2	gencond	neighcon	neighgar	areafood	settlemn	resarea	AREA50M	houses	walkhous	walkroad	kindroad	boatride	walktran	electric	elecserv	material	neighmat	housneat	children	mother	ownhouse	ownlots	valhouse	rentfree	rental	feerent	samehous	renovatn	roomnumb	bathroom	bicycle	bikecar	motobike	motorcar	cars	jeepney	trucks	boat	banca	carriage	tractor	vehicle	chicken	goats	pigs	cows	carabaos	horses	animal	livinset	dineset	cabinet	bedwmatt	bedwomat	furnitur	eleciron	elecfan	aircon	sewmach	refriger	gastove	oven	rcooker	micwave	prcooker	colortv	tvcable	vcr	recorder	cdplayer	karaoke	computer	internet	washingm	vacuum	kerstove	dvcamera	videogam	applian	EQUIPM1	EQ1NUMB	EQUIPM2	EQ2NUMB	EQUIPM3	EQ3NUMB	EQUIPM4	EQ4NUMB	EQUIPM5	EQ5NUMB	purchase	MAJORP1	MAJORP2	MAJORP3	MAJORP4	MAJORP5	business	TYPEBIS1	TYPEBIS2	EMPLOY1	EMPLOY2	telephon	totalcel	momcel	iccel	pacel	spouscel	economic	BETTER1	BETTER2	BETTER3	WORSE1	WORSE2	WORSE3	CROP1	EXPCROP1	SOLD1	CONSU1	CROP2	EXPCROP2	SOLD2	CONSU2	CROP3	EXPCROP3	SOLD3	CONSU3	CROP4	EXPCROP4	SOLD4	CONSU4	CROP5	EXPCROP5	SOLD5	CONSU5	CROP6	EXPCROP6	SOLD6	CONSU6	othsourc	agricoml	boarder	pension	remittan	allotmnt	donation	winnings	homegard	sources	inkind	valkind	food	alcobeve	tobacco	allowanc	watlight	cellcard	cabletv	itnetfee	soap	helper	transpo	newsmag	recreate	loans	houselot	schlfees	medical	clothing	durable	cphones	pcomputr	insuran	parties	expenses	OTHREXP1	OTHFREQ1	COST1	OTHREXP2	OTHFREQ2	COST2
1	59	59	1	59	59	2	10032	1	13	2005	5	0	2	1	2	2	3	1	1	2	1	-9	20	6.0	0	1	-9	3	-9	3	3	3	1	3	1	1	20	0	5	2	-9	5	1	1	2	2	1	1	1	1	0	80000	-9	-9	-9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	1	62	-9	0	-9	0	0	-9	-9	-9	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	0	0	0	0	39000	0	-9	1175	80	70.0	250	1494	0	0	0	967	0	360	0	0	0	0	1525	500	2000	0	0	0	0	1000	0	-9	-9	-9	-9	-9	-9
1	49	49	1	49	49	2	10022	1	25	2005	3	1	2	1	4	5	-9	4	1	2	1	-9	30	6.0	0	1	-9	1	-9	3	3	2	3	3	1	1	10	0	0	2	-9	3	1	1	3	3	3	2	2	1	0	70000	-9	-9	-9	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	600	200	0	0	400	0	0	1	300	619	40	60.0	0	1800	0	0	0	405	0	200	0	30	0	0	0	20	700	540	0	0	0	400	0	-9	-9	-9	-9	-9	-9
1	123	123	1	123	123	1	10086	1	10	2005	7	1	2	3	1	2	1	1	1	4	2.03	-9	12	5.0	0	2	4	4	2	3	2	3	2	3	1	1	20	0	4	2	-9	5	1	1	2	2	2	1	1	1	1	75000	-9	-9	-9	1	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	3	1	-9	-9	-9	0	-9	-9	-9	-9	0	1	0	0	0	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	200	0	0	0	0	0	1	300	860	50	0.0	1330	1966	300	0	0	970	0	1172	0	0	0	0	2675	200	2350	0	3500	0	5520	3000	0	-9	-9	-9	-9	-9	-9
13	189	189	13	189	189	1	11725	1	8	2005	9	0	2	1	1	2	1	1	1	3	2.09	2	-9	-9.0	1	1	-9	1	-9	3	3	3	2	3	1	1	20	0	2	2	-9	1	1	1	2	2	2	2	2	1	0	60000	-9	-9	-9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	2	0	1	0	-9	2	-9	-9	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	18000	0	0	0	0	0	0	1	5000	1202	0	0.0	391	575	50	0	0	222	0	0	6	0	0	0	78234	1000	664	0	0	0	20700	500	0	-9	-9	-9	-9	-9	-9
13	198	198	13	198	198	1	11733	1	14	2005	8	0	6	3	2	2	3	2	1	2	2.11	10	-9	-9.0	0	1	4	1	4	2	2	2	1	3	1	1	20	0	10	2	-9	10	1	1	2	2	2	1	1	1	0	100000	-9	-9	-9	1	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	1	6	0	4	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	33	-9	0	-9	1	2	0	1	0	-9	2	-9	-9	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	6800	1500	0	150000	0	0	0	0	-9	700	20	0.0	450	897	350	0	0	264	0	0	0	50	8000	70000	22350	200	2000	0	15500	0	15600	6700	0	-9	-9	-9	-9	-9	-9
13	458	458	13	3475	458	2	11933	1	18	2005	3	0	2	1	1	2	1	1	1	4	2.09	3	-9	-9.0	0	1	-9	1	-9	3	3	3	1	3	1	1	20	0	1	2	-9	2	1	1	2	2	1	2	2	1	0	150000	-9	-9	-9	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	1	1	0	-9	-9	2	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	500	1203	0	24.0	220	180	300	0	0	515	0	0	0	0	0	0	0	100	1000	0	0	0	0	1000	0	-9	-9	-9	-9	-9	-9
3	274	274	13	3386	274	1	10437	1	23	2005	8	0	3	4	2	2	1	2	1	3	2.2	-9	10	0.0	0	1	-9	1	-9	4	3	3	2	3	1	1	20	0	5	2	-9	5	1	1	2	2	2	2	2	1	0	550000	-9	-9	-9	1	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	1	2	1	1	0	3	3	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	3	-9	-9	1	62	-9	0	-9	0	2	0	1	0	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	21000	0	0	0	0	0	0	1	2600	1200	0	0.0	450	1104	300	0	0	1600	800	2504	0	0	0	0	17560	4500	5000	5300	8200	0	10800	3000	0	-9	-9	-9	-9	-9	-9
1	33	33	1	33	33	2	10010	1	29	2005	2	0	2	2	1	2	1	1	1	2	1	-9	30	5.0	0	2	-9	3	-9	2	2	2	2	2	1	1	20	0	0	2	-9	10	1	1	2	2	2	2	2	1	1	200000	-9	-9	-9	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	1	95	-9	0	-9	0	0	-9	-9	-9	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	1000	0	5000	0	0	0	1	350	1387	32	56.0	0	1627	0	0	0	140	0	312	0	0	3000	0	0	2000	1000	0	0	0	0	3500	0	-9	-9	-9	-9	-9	-9
1	133	133	1	1024	133	1	10095	1	13	2005	3	1	2	9	-9	1	1	4	1	3	3.02	-9	20	6.0	0	2	-9	2	-9	2	2	2	2	2	1	1	20	0	0	2	-9	2	1	1	3	2	2	2	2	1	0	400000	-9	-9	-9	1	1	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	0	1	1	0	1	2	0	4	1	4	4	1	0	1	0	0	2	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	9	2	-9	-9	0	-9	-9	-9	-9	1	1	0	1	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	1000	0	-8.0	220	2747	100	0	0	2800	0	1500	300	500	0	30000	12812	10000	20000	51200	0	31300	48096	21800	0	-9	-9	-9	-9	-9	-9
1	105	105	1	105	105	1	10069	1	11	2005	4	0	2	9	-9	2	1	1	1	2	2.08	-9	10	5.0	0	1	2	1	-9	3	3	2	2	3	1	1	20	0	3	2	-9	3	1	1	3	3	2	1	2	1	1	1202500	-9	-9	-9	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	1	0	1	0	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	62	-9	0	-9	1	2	0	1	0	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	94500	0	0	0	15000	60	0	49000	1	185	1580	0	0.0	200	1836	720	0	0	890	0	160	150	600	9000	6000	25500	4824	698	13500	3000	0	3389	2850	1	1	1	20	-9	-9	-9
3	295	295	3	295	295	2	10458	2	5	2005	7	0	4	1	1	2	1	1	1	3	3.02	-9	20	5.0	0	1	-9	1	-9	3	3	3	1	3	1	1	20	0	1	2	-9	3	1	1	2	2	1	1	1	0	0	600000	2	-9	5000	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	0	-9	-9	-9	-9	1	5	1	-9	1	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	30000	0	0	50000	0	0	0	1	700	1957	0	0.0	375	1985	1200	0	0	980	1200	0	0	200	2200	0	75800	14000	5000	22000	0	0	8256	15000	0	-9	-9	-9	-9	-9	-9
1	156	156	1	2546	156	1	10113	2	1	2005	7	0	6	1	4	2	1	1	1	4	1	-9	15	6.0	1	1	-9	4	-9	1	1	1	2	2	1	1	20	0	0	2	-9	0	1	1	2	1	3	2	2	1	0	50000	-9	-9	-9	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	1	1	2	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	62	-9	0	-9	0	1	0	0	0	0	2	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	0	45000	0	0	0	0	-9	1211	0	70.0	0	2268	100	0	0	694	0	384	0	0	9000	0	0	1500	2000	15000	4800	0	0	4500	0	-9	-9	-9	-9	-9	-9
3	173	173	3	173	173	1	10341	2	5	2005	11	0	6	1	1	2	3	1	1	3	2.12	5	-9	-9.0	0	1	-9	1	-9	2	2	2	2	3	1	1	20	0	1	2	-9	5	1	1	2	2	2	2	2	1	0	35000	-9	-9	-9	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	1	71	-9	0	-9	0	2	0	1	0	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	7000	1000	0	0	0	0	0	1	200	1525	180	70.0	210	1095	300	0	0	617	0	300	0	0	0	10000	0	500	0	1400	0	0	0	2500	0	-9	-9	-9	-9	-9	-9
1	27	27	1	27	27	2	10007	1	23	2005	7	0	6	1	2	2	1	1	1	2	2.04	-9	20	5.0	0	1	-9	1	-9	4	4	3	2	3	1	1	20	0	2	2	-9	3	1	1	2	2	2	2	2	1	0	80000	-9	-9	-9	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	10	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	3	-9	-9	-9	-9	0	-9	-9	-9	-9	0	2	0	-9	0	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	11700	0	0	7000	0	0	0	1	539	1380	0	10.0	50	656	500	0	0	585	0	2408	0	0	324	8000	1376	500	1117	144	4800	0	11904	4500	0	-9	-9	-9	-9	-9	-9
1	132	132	1	132	132	1	10094	1	14	2005	12	0	2	3	1	2	1	1	1	4	1	-9	40	6.0	0	1	-9	2	-9	3	2	3	1	3	1	1	20	0	5	1	-9	5	1	1	3	3	1	1	1	1	0	100000	-9	-9	-9	1	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	4	0	0	0	2	3	0	1	1	1	1	1	0	1	2	0	1	1	0	0	0	0	1	0	1	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	62	-9	0	-9	0	4	0	1	0	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	500	100	100	5000	0	0	7200	1	1500	6716	21	26.25	550	1895	700	0	0	1164	0	240	0	20	3000	2000	32564	2734	4675	12000	2700	0	25230	1200	0	-9	-9	-9	-9	-9	-9
1	78	78	1	78	78	1	10047	1	8	2005	8	0	3	1	1	2	1	1	1	3	2.03	-9	5	5.0	0	1	-9	1	-9	4	4	3	2	3	1	1	20	0	0	2	-9	3	1	1	2	2	2	2	1	1	0	40000	-9	-9	-9	1	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	62	-9	0	-9	1	2	0	0	-9	-9	2	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	26400	55000	0	0	0	0	0	1	45	1315.5	0	0.0	410	1555	200	0	50	999	0	100	0	200	0	0	24856	16	2000	13255	6700	0	0	2250	0	-9	-9	-9	-9	-9	-9
3	181	181	3	181	181	1	10349	1	28	2005	7	0	3	1	1	2	3	1	1	2	2.12	10	-9	-9.0	0	2	3	2	3	2	2	2	2	2	1	1	20	0	2	2	-9	2	1	1	2	2	3	2	2	1	0	10000	-9	-9	-9	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	11	4	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	1	90	-9	0	-9	1	2	0	1	0	-9	2	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	2000	0	0	5000	0	0	0	1	600	1530	0	20.0	610	1405	200	0	0	522	0	20	0	0	0	0	9650	150	80	0	0	0	1860	2500	0	-9	-9	-9	-9	-9	-9
1	89	89	1	89	89	1	10054	1	14	2005	5	0	2	1	4	2	3	1	1	2	2.03	0	-9	-9.0	0	1	-9	1	-9	4	4	3	2	3	1	1	20	0	0	2	-9	0	1	1	2	2	2	2	2	1	0	60000	-9	-9	-9	0	-9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	0	-9	-9	-9	-9	0	1	0	0	-9	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	19700	0	0	48000	0	0	0	1	300	972	0	20.0	0	1096	120	0	0	460	0	200	0	30	1700	7000	0	100	1400	1535	3000	0	0	4010	0	-9	-9	-9	-9	-9	-9
