basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moincome	dayincom	yrincome	linenumb	workstat	mainoccu	mainjob	farmstat	nonfarm	hrsjob	benefits	taxes	secndjob	secnoccu	jobsecnd	FARMSTA2	NONFARM2	HRSJOB2	BENEFIT2	TAXES2	hrsdayt	dayswkt	timepay	weektime	REGUJE1	finishp	paypiece	hrsdaypc	dyswekpc	weekpc	REGUJE2	hrsfarm	dywkfarm	wkyrfarm	REGUJE3A	livestok	daywkliv	wkyrlivs	REGUJE3B	expnsto	incmstok	consstok	hrsfish	dywkfish	wkyrfish	REGUJE4	incfish	familbus	typebus	homebus	hrsself	dywkself	wkyrself	REGUJE5	incmself
1	59	59	1	59	59	2	10032	1	13	2005	1	1	782	3	-9	2	72	0	0	0	-9	-9	-9	-9	-9	-9	-9	12	6.0	180	12.0	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
1	59	59	1	59	59	2	10032	1	13	2005	2	1	331	3	-9	1	35	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	62	0	5	7.0	48	1	100
1	59	59	1	59	59	2	10032	1	13	2005	3	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0.33	7	40	1	3920	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
1	49	49	1	49	49	2	10022	1	25	2005	1	1	914	3	-9	2	32	0	0	0	-9	-9	-9	-9	-9	-9	-9	10	3.0	200	52.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0.16	7	52	1	50	950	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
1	49	49	1	49	49	2	10022	1	25	2005	2	1	993	3	-9	2	8	0	0	1	904	3	-9	2	8	0	0	8	4.0	93.75	36.0	1	40	20	8	2	52	1	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
1	49	49	1	49	49	2	10022	1	25	2005	3	2	791	3	-9	2	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	8	6.0	150	16.0	4	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	198	198	13	198	198	1	11733	1	14	2005	1	1	807	3	-9	1	56	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	33	1	8	7.0	52	1	133.33
13	198	198	13	198	198	1	11733	1	14	2005	2	1	807	3	-9	1	56	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	1	7	52	1	4368	1500	1000	-9	-9	-9	-9	-9	1	33	1	8	7.0	52	1	-7
13	198	198	13	198	198	1	11733	1	14	2005	5	1	905	3	-9	2	48	1	1	0	-9	-9	-9	-9	-9	-9	-9	24	2.0	1625	52.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	458	458	13	3475	458	2	11933	1	18	2005	1	1	761	3	-9	2	72	0	0	0	-9	-9	-9	-9	-9	-9	-9	12	6.0	220	24.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
