basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	linenumb	maristat	uncmomid	MONFOOD1	DAYFOOD1	YEARFOD1	MEALCOD1	DISHPRE1	PLACPRE1	DISHEAT1	DISHNUM1	FOODCOD1	CONSUME1	MEASURE1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	0	6	4	1	1	205	0.5	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	0	1	4	1	2	1299	1.67	4
1	59	59	1	59	59	2	2	2	10032	1	13	2005	0	1	4	1	2	153	2.78	2
1	59	59	1	59	59	2	2	2	10032	1	13	2005	1	1	1	1	1	1	1	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	1	3	4	1	2	307	0.5	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	1	3	4	1	2	657	4	2
1	59	59	1	59	59	2	2	2	10032	1	13	2005	1	3	4	1	2	1271	-9	-9
1	59	59	1	59	59	2	2	2	10032	1	13	2005	2	7	5	1	1	49	2	4
1	59	59	1	59	59	2	2	2	10032	1	13	2005	2	8	5	1	2	1307	1	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	3	1	1	1	1	1	1	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	3	4	4	2	2	1053	4	2
1	59	59	1	59	59	2	2	2	10032	1	13	2005	4	2	4	2	1	551	2	4
1	59	59	1	59	59	2	2	2	10032	1	13	2005	5	1	1	1	1	1	1	1
1	59	59	1	59	59	2	2	2	10032	1	13	2005	5	1	1	1	2	656	4	2
1	49	49	1	49	49	2	1	2	10022	1	25	2005	1	1	2	2	1	1	1.5	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	1	2	2	2	2	657	8	2
1	49	49	1	49	49	2	1	2	10022	1	25	2005	1	2	2	2	2	1271	-9	-9
1	49	49	1	49	49	2	1	2	10022	1	25	2005	2	7	5	2	1	103	5	4
1	49	49	1	49	49	2	1	2	10022	1	25	2005	3	1	1	2	1	1	1.5	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	3	1	1	2	2	432	0.33	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	3	1	1	2	2	350	0.33	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	3	1	1	2	2	380	0.33	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	4	7	5	2	1	41	2	4
1	49	49	1	49	49	2	1	2	10022	1	25	2005	4	8	1	2	2	1302	0.5	6
1	49	49	1	49	49	2	1	2	10022	1	25	2005	4	8	1	2	2	153	1.5	6
1	49	49	1	49	49	2	1	2	10022	1	25	2005	5	1	1	1	1	9	1.5	1
1	49	49	1	49	49	2	1	2	10022	1	25	2005	5	1	1	1	2	626	4	2
13	198	198	13	198	198	1	2	2	11733	1	14	2005	0	7	5	1	1	51	2	4
13	198	198	13	198	198	1	2	2	11733	1	14	2005	0	8	1	1	2	1302	0.5	6
13	198	198	13	198	198	1	2	2	11733	1	14	2005	0	8	1	1	2	153	1	6
13	198	198	13	198	198	1	2	2	11733	1	14	2005	1	1	1	1	1	1	1.5	1
13	198	198	13	198	198	1	2	2	11733	1	14	2005	1	2	1	1	2	1202	2	2
13	198	198	13	198	198	1	2	2	11733	1	14	2005	1	2	1	1	2	1271	-9	-9
13	198	198	13	198	198	1	2	2	11733	1	14	2005	3	1	1	1	1	1	1.5	1
13	198	198	13	198	198	1	2	2	11733	1	14	2005	3	2	2	1	2	1099	1	2
13	198	198	13	198	198	1	2	2	11733	1	14	2005	4	7	5	1	1	49	1.5	4
13	198	198	13	198	198	1	2	2	11733	1	14	2005	4	8	1	1	2	1302	0.5	6
13	198	198	13	198	198	1	2	2	11733	1	14	2005	4	8	1	1	2	153	1	6
13	198	198	13	198	198	1	2	2	11733	1	14	2005	5	1	1	1	1	1	1.5	1
13	198	198	13	198	198	1	2	2	11733	1	14	2005	5	3	1	1	2	754	2	2
13	198	198	13	198	198	1	2	2	11733	1	14	2005	5	3	1	1	2	363	1	6
13	198	198	13	198	198	1	2	2	11733	1	14	2005	5	3	1	1	2	1271	-9	-9
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	1	7	5	2	1	40	3	4
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	1	8	1	2	2	1297	4	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	1	8	1	2	2	153	0.5	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	1	1	2	1	1	1	1
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	1	4	2	2	306	2	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	1	4	2	2	797	1	6
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	1	4	2	2	1276	-9	-9
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	2	4	2	3	627	0.5	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	2	4	2	3	1271	-9	-9
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	2	4	2	4	467	1	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	8	5	2	5	1307	0.2	1
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	3	8	5	2	5	1290	0.3	1
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	4	7	5	2	1	92	5	4
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	1	1	1	1
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	425	1	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	230	1	6
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	350	2	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	332	1	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	401	1	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	380	1	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	1	1	1	2	626	1	6
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	2	1	1	3	1081	4	2
3	274	274	13	3386	274	1	2	2	10437	1	23	2005	5	2	1	1	3	1271	-9	-9
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	1	1	1	1	1	1	1	1
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	1	1	1	1	2	1096	7.33	2
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	3	1	1	1	1	1	1	1
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	3	4	1	1	2	1095	0.33	1
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	5	1	1	1	1	708	2	2
13	458	458	13	3475	458	2	2	3	11933	1	18	2005	5	2	1	1	2	1089	1	2
