basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
1	59	59	1	59	59	2	10032	1	13	2005	1	0	1	2	-9	1	3	1957	47	1	8	0	1	-9
1	59	59	1	59	59	2	10032	1	13	2005	2	1	0	3	-9	2	1	1962	42	1	8	0	1	-9
1	59	59	1	59	59	2	10032	1	13	2005	3	4	4	6	-9	1	6	1984	20	1	11	0	0	0
1	59	59	1	59	59	2	10032	1	13	2005	4	5	5	7	-9	2	11	1987	17	1	11	0	0	0
1	59	59	1	59	59	2	10032	1	13	2005	5	5	5	7	-9	2	6	1989	15	1	9	1	0	0
1	49	49	1	49	49	2	10022	1	25	2005	1	0	0	3	-9	2	12	1959	45	1	6	0	1	-9
1	49	49	1	49	49	2	10022	1	25	2005	2	1	1	2	-9	1	3	1959	45	1	6	0	1	-9
1	49	49	1	49	49	2	10022	1	25	2005	3	4	4	6	-9	1	6	1987	17	1	4	0	0	1
13	198	198	13	198	198	1	11733	1	14	2005	1	0	1	2	-9	1	3	1946	58	1	11	0	1	-9
13	198	198	13	198	198	1	11733	1	14	2005	2	1	0	3	-9	2	2	1948	56	1	6	0	1	-9
13	198	198	13	198	198	1	11733	1	14	2005	3	5	5	34	-9	2	7	1983	21	1	14	1	0	0
13	198	198	13	198	198	1	11733	1	14	2005	4	4	4	6	-9	1	7	1990	14	1	8	1	0	0
13	198	198	13	198	198	1	11733	1	14	2005	5	4	4	6	0	1	3	1976	28	1	15	0	1	-9
13	198	198	13	198	198	1	11733	1	14	2005	6	20	20	22	0	2	4	1983	21	1	11	0	0	0
13	198	198	13	198	198	1	11733	1	14	2005	7	9	9	16	0	2	8	2004	0	1	-9	-9	-9	-9
13	198	198	13	198	198	1	11733	1	14	2005	8	8	8	15	0	1	6	1995	9	1	3	1	0	0
13	458	458	13	3475	458	2	11933	1	18	2005	1	0	1	38	-9	1	9	1963	41	1	13	0	1	-9
13	458	458	13	3475	458	2	11933	1	18	2005	2	1	0	3	-9	2	2	1958	46	1	9	0	1	-9
13	458	458	13	3475	458	2	11933	1	18	2005	3	39	4	6	-9	1	10	1979	25	1	9	0	0	0
3	274	274	13	3386	274	1	10437	1	23	2005	1	0	1	2	-9	1	6	1957	47	1	6	0	1	-9
3	274	274	13	3386	274	1	10437	1	23	2005	2	1	0	3	-9	2	12	1956	48	1	6	0	1	-9
3	274	274	13	3386	274	1	10437	1	23	2005	3	4	4	6	-9	1	10	1980	24	1	14	1	1	-9
3	274	274	13	3386	274	1	10437	1	23	2005	4	4	4	34	-9	1	3	1984	20	1	11	0	1	-9
3	274	274	13	3386	274	1	10437	1	23	2005	5	4	4	6	-9	1	8	1986	18	1	11	1	0	0
3	274	274	13	3386	274	1	10437	1	23	2005	6	4	4	6	-9	1	8	1988	16	1	10	1	0	0
3	274	274	13	3386	274	1	10437	1	23	2005	7	6	21	12	0	1	2	1953	51	1	9	0	1	-9
11	129	129	11	129	129	1	11473	5	21	2005	1	0	1	2	-9	1	7	1962	42	1	11	0	0	0
1	72	72	1	72	72	2	10042	1	17	2005	4	4	4	6	-9	1	1	1985	20	1	6	0	1	-9
1	72	72	1	72	72	2	10042	1	17	2005	5	5	5	7	-9	2	2	1987	17	1	8	1	0	0
1	72	72	1	72	72	2	10042	1	17	2005	6	5	5	7	-9	2	8	1988	16	1	9	1	0	0
1	72	72	1	72	72	2	10042	1	17	2005	7	4	4	6	-9	1	8	1990	14	1	5	0	0	0
