basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	incwage	incpiece	incfarm	inclstok	incfish	incself	incrent	incboard	incbonus	incloans	incwins	incgardn	incother	inspouse	inkids	inparent	inrelat	outspous	outkids	outparen	outrelat
16	161	161	12281	22281	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	65	65	12203	22203	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
16	69	69	12206	22206	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
16	136	136	12260	22260	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
16	77	77	12211	22211	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
16	95	95	12227	22227	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	155	155	12276	22276	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
16	150	150	12274	22274	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1
16	31	31	12178	22178	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
16	43	43	12187	22187	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	115	115	10301	20301	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	113	113	10299	20299	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
3	232	232	10398	20398	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	205	205	10373	20373	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	181	181	10349	20349	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	41	41	10248	20248	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
3	103	103	10294	20294	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	248	248	10411	20411	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
3	190	190	10358	20358	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
3	163	268	10431	20431	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	189	189	10357	20357	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3	66	66	10267	20267	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
3	145	145	10316	20316	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
3	272	272	10435	20435	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
3	250	250	10413	20413	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	57	57	10259	20259	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	312	312	10469	20469	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	73	73	10271	20271	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
3	296	296	10459	20459	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1
3	84	84	10281	20281	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	191	191	10359	20359	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	204	204	10372	20372	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	219	219	13314	23314	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
3	237	237	10401	20401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	139	139	10311	20311	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
