basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	mommain	mainplac	brgymain	munimain	mainhrs	DOJOB1	secnjob	momsecnd	secnplac	brgysecn	munisecn	secnhrs	DOJOB2	benefits	volbenef	everofw	JOBLOC1	OFWTYPE1	OFWSMON1	OFWSYR1	OFWEMON1	OFWEYR1	JOBLOC2	OFWTYPE2	OFWSMON2	OFWSYR2	OFWEMON2	OFWEYR2	JOBLOC3	OFWTYPE3	OFWSMON3	OFWSYR3	OFWEMON3	OFWEYR3	JOBLOC4	OFWTYPE4	OFWSMON4	OFWSYR4	OFWEMON4	OFWEYR4
16	161	161	12281	22281	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	65	65	12203	22203	2	5	2	-9	-9	4.0	3	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	69	69	12206	22206	1	4	2	-9	-9	20.0	3	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	136	136	12260	22260	2	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	77	77	12211	22211	2	5	1	-9	-9	84.0	6	0	-9	-9	-9	-9	-9.0	-9	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	95	95	12227	22227	2	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	155	155	12276	22276	1	4	3	-9	-9	12.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	150	150	12274	22274	1	5	3	-9	-9	119.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	31	31	12178	22178	1	4	2	-9	-9	8.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	43	43	12187	22187	1	5	1	-9	-9	98.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	115	115	10301	20301	2	4	2	-9	-9	5.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	113	113	10299	20299	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	232	232	10398	20398	1	5	1	-9	-9	112.0	6	1	3	1	-9	-9	14.0	2	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	205	205	10373	20373	2	4	2	-9	-9	-9.0	1	1	3	2	-9	-9	-9.0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	181	181	10349	20349	1	3	1	-9	-9	54.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	41	41	10248	20248	1	4	5	-9	2	40.0	1	0	-9	-9	-9	-9	-9.0	-9	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	103	103	10294	20294	1	3	3	-9	-9	3.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	248	248	10411	20411	2	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	190	190	10358	20358	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	163	268	10431	20431	1	3	3	-9	-9	49.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	189	189	10357	20357	1	3	1	-9	-9	10.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	66	66	10267	20267	2	4	4	298	-9	40.0	1	0	-9	-9	-9	-9	-9.0	-9	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	145	145	10316	20316	2	5	1	-9	-9	105.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	272	272	10435	20435	1	3	4	310	-9	40.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	250	250	10413	20413	1	4	3	-9	-9	40.0	5	0	-9	-9	-9	-9	-9.0	-9	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	57	57	10259	20259	1	3	1	-9	-9	28.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	312	312	10469	20469	1	3	1	-9	-9	17.0	1	0	-9	-9	-9	-9	-9.0	-9	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	73	73	10271	20271	1	4	3	-9	-9	4.0	5	0	-9	-9	-9	-9	-9.0	-9	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	296	296	10459	20459	1	5	2	-9	-9	56.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	84	84	10281	20281	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	191	191	10359	20359	1	3	2	-9	-9	81.0	7	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	204	204	10372	20372	1	3	3	-9	-9	21.0	2	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
