basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
16	161	161	12281	22281	1	1	0	1	2	1	5	1958	49	-9	0	-9
16	161	161	12281	22281	1	2	1	0	3	2	7	1964	43	4	0	0
16	161	161	12281	22281	1	3	4	4	34	1	3	1984	23	6	0	0
16	161	161	12281	22281	1	4	4	4	6	1	9	1988	19	-9	0	-9
16	161	161	12281	22281	1	5	5	5	7	2	9	1990	17	-9	0	-9
16	161	161	12281	22281	1	6	4	4	6	1	8	1992	15	-9	0	-9
16	161	161	12281	22281	1	7	4	4	6	1	12	1994	12	-9	0	-9
16	161	161	12281	22281	1	8	4	4	6	1	12	1996	10	-9	0	-9
16	161	161	12281	22281	1	9	5	5	7	2	12	1996	10	-9	0	-9
16	161	161	12281	22281	1	10	5	5	7	2	5	1986	21	-9	0	-9
16	161	161	12281	22281	1	11	9	9	16	2	10	2004	3	-9	0	-9
16	161	161	12281	22281	1	12	9	9	16	2	5	2006	1	-9	0	-9
16	65	65	12203	22203	2	1	0	1	2	1	7	1957	50	-9	0	-9
16	65	65	12203	22203	2	2	1	0	3	2	7	1956	51	5	0	0
16	65	65	12203	22203	2	3	5	5	7	2	7	1977	30	-9	0	-9
16	65	65	12203	22203	2	4	4	4	6	1	8	1979	28	-9	0	-9
16	65	65	12203	22203	2	5	4	4	6	1	4	1988	19	-9	0	-9
16	69	69	12206	22206	1	1	0	1	2	1	6	1959	48	-9	0	-9
16	69	69	12206	22206	1	2	1	0	3	2	5	1960	47	3	0	0
16	69	69	12206	22206	1	3	4	4	34	1	9	1983	24	12	0	1
16	69	69	12206	22206	1	4	5	5	7	2	6	1988	19	-9	0	-9
16	69	69	12206	22206	1	5	5	5	7	2	7	1990	17	-9	0	-9
16	69	69	12206	22206	1	6	5	5	7	2	8	1992	15	-9	0	-9
16	69	69	12206	22206	1	7	4	4	6	1	3	1995	12	-9	0	-9
16	69	69	12206	22206	1	8	5	5	7	2	6	1997	10	-9	0	-9
16	136	136	12260	22260	2	1	0	1	2	1	9	1961	46	-9	0	-9
16	136	136	12260	22260	2	2	1	0	3	2	7	1961	46	5	0	0
16	136	136	12260	22260	2	3	4	4	6	1	3	1986	21	-9	0	-9
16	136	136	12260	22260	2	4	5	5	7	2	4	1988	19	-9	0	-9
16	136	136	12260	22260	2	5	4	4	6	1	7	1991	16	-9	0	-9
16	77	77	12211	22211	2	1	0	1	2	1	3	1953	54	-9	0	-9
16	77	77	12211	22211	2	2	1	0	3	2	10	1953	54	13	0	0
16	77	77	12211	22211	2	3	5	5	7	2	6	1988	19	-9	0	-9
16	77	77	12211	22211	2	4	4	4	6	1	3	1996	11	-9	0	-9
16	95	95	12227	22227	2	1	0	1	2	1	10	1958	49	-9	0	-9
16	95	95	12227	22227	2	2	1	0	3	2	4	1956	51	6	0	0
16	95	95	12227	22227	2	3	5	5	7	2	4	1997	10	-9	0	-9
16	155	155	12276	22276	1	1	0	0	3	2	8	1960	47	6	0	0
16	155	155	12276	22276	1	2	5	5	34	2	4	1984	23	13	0	0
16	155	155	12276	22276	1	3	5	5	7	2	7	1987	20	-9	0	-9
16	155	155	12276	22276	1	4	4	4	6	1	4	1989	18	-9	0	-9
16	155	155	12276	22276	1	5	5	5	7	2	9	1990	17	-9	0	-9
16	155	155	12276	22276	1	6	4	4	6	1	4	1993	14	-9	0	-9
16	155	155	12276	22276	1	7	4	4	6	1	12	1994	12	-9	0	-9
